experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
PTK2B_A,A1,miseq_oligo,PTK2B,Miseq_004_FP,A1,A
PTK2B_A,B1,miseq_oligo,PTK2B,Miseq_004_FP,B1,A
PTK2B_A,C1,miseq_oligo,PTK2B,Miseq_004_FP,C1,A
PTK2B_A,D1,miseq_oligo,PTK2B,Miseq_004_FP,D1,A
PTK2B_A,E1,miseq_oligo,PTK2B,Miseq_004_FP,E1,A
PTK2B_A,F1,miseq_oligo,PTK2B,Miseq_004_FP,F1,A
PTK2B_A,G1,miseq_oligo,PTK2B,Miseq_004_FP,G1,A
PTK2B_A,H1,miseq_oligo,PTK2B,Miseq_004_FP,H1,A
PTK2B_A,A2,miseq_oligo,PTK2B,Miseq_004_FP,A2,A
PTK2B_A,B2,miseq_oligo,PTK2B,Miseq_004_FP,B2,A
PTK2B_A,C2,miseq_oligo,PTK2B,Miseq_004_FP,C2,A
PTK2B_A,D2,miseq_oligo,PTK2B,Miseq_004_FP,D2,A
PTK2B_A,E2,miseq_oligo,PTK2B,Miseq_004_FP,E2,A
PTK2B_A,F2,miseq_oligo,PTK2B,Miseq_004_FP,F2,A
PTK2B_A,G2,miseq_oligo,PTK2B,Miseq_004_FP,G2,A
PTK2B_A,H2,miseq_oligo,PTK2B,Miseq_004_FP,H2,A
PTK2B_A,A3,miseq_oligo,PTK2B,Miseq_004_FP,A3,A
PTK2B_A,B3,miseq_oligo,PTK2B,Miseq_004_FP,B3,A
PTK2B_A,C3,miseq_oligo,PTK2B,Miseq_004_FP,C3,A
PTK2B_A,D3,miseq_oligo,PTK2B,Miseq_004_FP,D3,A
PTK2B_A,E3,miseq_oligo,PTK2B,Miseq_004_FP,E3,A
PTK2B_A,F3,miseq_oligo,PTK2B,Miseq_004_FP,F3,A
PTK2B_A,G3,miseq_oligo,PTK2B,Miseq_004_FP,G3,A
PTK2B_A,H3,miseq_oligo,PTK2B,Miseq_004_FP,H3,A
PTK2B_A,A4,miseq_oligo,PTK2B,Miseq_004_FP,A4,A
PTK2B_A,B4,miseq_oligo,PTK2B,Miseq_004_FP,B4,A
PTK2B_A,C4,miseq_oligo,PTK2B,Miseq_004_FP,C4,A
PTK2B_A,D4,miseq_oligo,PTK2B,Miseq_004_FP,D4,A
PTK2B_A,E4,miseq_oligo,PTK2B,Miseq_004_FP,E4,A
PTK2B_A,F4,miseq_oligo,PTK2B,Miseq_004_FP,F4,A
PTK2B_A,G4,miseq_oligo,PTK2B,Miseq_004_FP,G4,A
PTK2B_A,H4,miseq_oligo,PTK2B,Miseq_004_FP,H4,A
PTK2B_A,A5,miseq_oligo,PTK2B,Miseq_004_FP,A5,A
PTK2B_A,B5,miseq_oligo,PTK2B,Miseq_004_FP,B5,A
PTK2B_A,C5,miseq_oligo,PTK2B,Miseq_004_FP,C5,A
PTK2B_A,D5,miseq_oligo,PTK2B,Miseq_004_FP,D5,A
PTK2B_A,E5,miseq_oligo,PTK2B,Miseq_004_FP,E5,A
PTK2B_A,F5,miseq_oligo,PTK2B,Miseq_004_FP,F5,A
PTK2B_A,G5,miseq_oligo,PTK2B,Miseq_004_FP,G5,A
PTK2B_A,H5,miseq_oligo,PTK2B,Miseq_004_FP,H5,A
