experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
ARID1A_2_N,A7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A7,N
ARID1A_2_N,B7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B7,N
ARID1A_2_N,C7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C7,N
ARID1A_2_N,D7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D7,N
ARID1A_2_N,E7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E7,N
ARID1A_2_N,F7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F7,N
ARID1A_2_N,G7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G7,N
ARID1A_2_N,H7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H7,N
ARID1A_2_N,A8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A8,N
ARID1A_2_N,B8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B8,N
ARID1A_2_N,C8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C8,N
ARID1A_2_N,D8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D8,N
ARID1A_2_N,E8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E8,N
ARID1A_2_N,F8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F8,N
ARID1A_2_N,G8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G8,N
ARID1A_2_N,H8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H8,N
ARID1A_2_N,A9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A9,N
ARID1A_2_N,B9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B9,N
ARID1A_2_N,C9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C9,N
ARID1A_2_N,D9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D9,N
ARID1A_2_N,E9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E9,N
ARID1A_2_N,F9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F9,N
ARID1A_2_N,G9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G9,N
ARID1A_2_N,H9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H9,N
ARID1A_2_N,A10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A10,N
ARID1A_2_N,B10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B10,N
ARID1A_2_N,C10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C10,N
ARID1A_2_N,D10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D10,N
ARID1A_2_N,E10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E10,N
ARID1A_2_N,F10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F10,N
ARID1A_2_N,G10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G10,N
ARID1A_2_N,H10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H10,N
ARID1A_2_N,A11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A11,N
ARID1A_2_N,B11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B11,N
ARID1A_2_N,C11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C11,N
ARID1A_2_N,D11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D11,N
ARID1A_2_N,E11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E11,N
ARID1A_2_N,F11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F11,N
ARID1A_2_N,G11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G11,N
ARID1A_2_N,H11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H11,N
ARID1A_2_N,A12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A12,N
ARID1A_2_N,B12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B12,N
ARID1A_2_N,C12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C12,N
ARID1A_2_N,D12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D12,N
ARID1A_2_N,E12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E12,N
ARID1A_2_N,F12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F12,N
ARID1A_2_N,G12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G12,N
ARID1A_2_N,H12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H12,N
ARID1B_2_J,A7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,A7,J
ARID1B_2_J,B7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,B7,J
ARID1B_2_J,C7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,C7,J
ARID1B_2_J,D7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,D7,J
ARID1B_2_J,E7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,E7,J
ARID1B_2_J,F7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,F7,J
ARID1B_2_J,G7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,G7,J
ARID1B_2_J,H7,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,H7,J
ARID1B_2_J,A8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,A8,J
ARID1B_2_J,B8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,B8,J
ARID1B_2_J,C8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,C8,J
ARID1B_2_J,D8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,D8,J
ARID1B_2_J,E8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,E8,J
ARID1B_2_J,F8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,F8,J
ARID1B_2_J,G8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,G8,J
ARID1B_2_J,H8,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,H8,J
ARID1B_2_J,A9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,A9,J
ARID1B_2_J,B9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,B9,J
ARID1B_2_J,C9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,C9,J
ARID1B_2_J,D9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,D9,J
ARID1B_2_J,E9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,E9,J
ARID1B_2_J,F9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,F9,J
ARID1B_2_J,G9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,G9,J
ARID1B_2_J,H9,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,H9,J
ARID1B_2_J,A10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,A10,J
ARID1B_2_J,B10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,B10,J
ARID1B_2_J,C10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,C10,J
ARID1B_2_J,D10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,D10,J
ARID1B_2_J,E10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,E10,J
ARID1B_2_J,F10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,F10,J
ARID1B_2_J,G10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,G10,J
ARID1B_2_J,H10,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,H10,J
ARID1B_2_J,A11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,A11,J
ARID1B_2_J,B11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,B11,J
ARID1B_2_J,C11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,C11,J
ARID1B_2_J,D11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,D11,J
ARID1B_2_J,E11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,E11,J
ARID1B_2_J,F11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,F11,J
ARID1B_2_J,G11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,G11,J
ARID1B_2_J,H11,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,H11,J
ARID1B_2_J,A12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,A12,J
ARID1B_2_J,B12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,B12,J
ARID1B_2_J,C12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,C12,J
ARID1B_2_J,D12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,D12,J
ARID1B_2_J,E12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,E12,J
ARID1B_2_J,F12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,F12,J
ARID1B_2_J,G12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,G12,J
ARID1B_2_J,H12,miseq_no_template,ARID1B_2,MiSeq_TT_FP_6,H12,J
ASXL3_2_F,A1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,A1,F
ASXL3_2_F,B1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,B1,F
ASXL3_2_F,C1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,C1,F
ASXL3_2_F,D1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,D1,F
ASXL3_2_F,E1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,E1,F
ASXL3_2_F,F1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,F1,F
ASXL3_2_F,G1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,G1,F
ASXL3_2_F,H1,miseq_no_template,ASXL3,MiSeq_TT_FP_4,H1,F
