experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
HUPEPD0018_1_ANKRD11,A1,miseq_no_template,ANKRD11,Miseq_008_FP,A1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,B1,miseq_no_template,ANKRD11,Miseq_008_FP,B1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,C1,miseq_no_template,ANKRD11,Miseq_008_FP,C1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,D1,miseq_no_template,ANKRD11,Miseq_008_FP,D1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,E1,miseq_no_template,ANKRD11,Miseq_008_FP,E1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,F1,miseq_no_template,ANKRD11,Miseq_008_FP,F1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,G1,miseq_no_template,ANKRD11,Miseq_008_FP,G1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,H1,miseq_no_template,ANKRD11,Miseq_008_FP,H1,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,A2,miseq_no_template,ANKRD11,Miseq_008_FP,A2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,B2,miseq_no_template,ANKRD11,Miseq_008_FP,B2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,C2,miseq_no_template,ANKRD11,Miseq_008_FP,C2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,D2,miseq_no_template,ANKRD11,Miseq_008_FP,D2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,E2,miseq_no_template,ANKRD11,Miseq_008_FP,E2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,F2,miseq_no_template,ANKRD11,Miseq_008_FP,F2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,G2,miseq_no_template,ANKRD11,Miseq_008_FP,G2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,H2,miseq_no_template,ANKRD11,Miseq_008_FP,H2,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,A3,miseq_no_template,ANKRD11,Miseq_008_FP,A3,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,B3,miseq_no_template,ANKRD11,Miseq_008_FP,B3,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,C3,miseq_no_template,ANKRD11,Miseq_008_FP,C3,HUPEPD0018_1
HUPEPD0018_1_ANKRD11,D3,miseq_no_template,ANKRD11,Miseq_008_FP,D3,HUPEPD0018_1
