experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
KMT2A_A,A1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,A9,A
KMT2A_A,B1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,B9,A
KMT2A_A,C1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,C9,A
KMT2A_A,D1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,D9,A
KMT2A_A,E1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,E9,A
KMT2A_A,F1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,F9,A
KMT2A_A,G1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,G9,A
KMT2A_A,H1,miseq_no_template,KMT2A,MiSeq_TT_FP_10,H9,A
KMT2A_A,A2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,A10,A
KMT2A_A,B2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,B10,A
KMT2A_A,C2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,C10,A
KMT2A_A,D2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,D10,A
KMT2A_A,E2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,E10,A
KMT2A_A,F2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,F10,A
KMT2A_A,G2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,G10,A
KMT2A_A,H2,miseq_no_template,KMT2A,MiSeq_TT_FP_10,H10,A
KMT2A_A,A3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,A11,A
KMT2A_A,B3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,B11,A
KMT2A_A,C3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,C11,A
KMT2A_A,D3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,D11,A
KMT2A_A,E3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,E11,A
KMT2A_A,F3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,F11,A
KMT2A_A,G3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,G11,A
KMT2A_A,H3,miseq_no_template,KMT2A,MiSeq_TT_FP_10,H11,A
KMT2A_A,A4,miseq_no_template,KMT2A,MiSeq_TT_FP_10,A12,A
