experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
HUPEPD0020_5_CHD3_1,A1,miseq_no_template,CHD3_1,HUPEPD0020_5,A1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,B1,miseq_no_template,CHD3_1,HUPEPD0020_5,B1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,C1,miseq_no_template,CHD3_1,HUPEPD0020_5,C1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,D1,miseq_no_template,CHD3_1,HUPEPD0020_5,D1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,E1,miseq_no_template,CHD3_1,HUPEPD0020_5,E1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,F1,miseq_no_template,CHD3_1,HUPEPD0020_5,F1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,G1,miseq_no_template,CHD3_1,HUPEPD0020_5,G1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,H1,miseq_no_template,CHD3_1,HUPEPD0020_5,H1,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,A2,miseq_no_template,CHD3_1,HUPEPD0020_5,A2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,B2,miseq_no_template,CHD3_1,HUPEPD0020_5,B2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,C2,miseq_no_template,CHD3_1,HUPEPD0020_5,C2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,D2,miseq_no_template,CHD3_1,HUPEPD0020_5,D2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,E2,miseq_no_template,CHD3_1,HUPEPD0020_5,E2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,F2,miseq_no_template,CHD3_1,HUPEPD0020_5,F2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,G2,miseq_no_template,CHD3_1,HUPEPD0020_5,G2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,H2,miseq_no_template,CHD3_1,HUPEPD0020_5,H2,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,A3,miseq_no_template,CHD3_1,HUPEPD0020_5,A3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,B3,miseq_no_template,CHD3_1,HUPEPD0020_5,B3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,C3,miseq_no_template,CHD3_1,HUPEPD0020_5,C3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,D3,miseq_no_template,CHD3_1,HUPEPD0020_5,D3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,E3,miseq_no_template,CHD3_1,HUPEPD0020_5,E3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,F3,miseq_no_template,CHD3_1,HUPEPD0020_5,F3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,G3,miseq_no_template,CHD3_1,HUPEPD0020_5,G3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,H3,miseq_no_template,CHD3_1,HUPEPD0020_5,H3,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,A4,miseq_no_template,CHD3_1,HUPEPD0020_5,A4,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,B4,miseq_no_template,CHD3_1,HUPEPD0020_5,B4,HUPEPD0020_5_CHD3_1
HUPEPD0020_5_CHD3_1,C4,miseq_no_template,CHD3_1,HUPEPD0020_5,C4,HUPEPD0020_5_CHD3_1
