experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
GPR35_A,A13,miseq_oligo,GPR35,Miseq_005_FP,A13,A
GPR35_A,B13,miseq_oligo,GPR35,Miseq_005_FP,B13,A
GPR35_A,C13,miseq_oligo,GPR35,Miseq_005_FP,C13,A
GPR35_A,D13,miseq_oligo,GPR35,Miseq_005_FP,D13,A
GPR35_A,E13,miseq_oligo,GPR35,Miseq_005_FP,E13,A
GPR35_A,F13,miseq_oligo,GPR35,Miseq_005_FP,F13,A
GPR35_A,G13,miseq_oligo,GPR35,Miseq_005_FP,G13,A
GPR35_A,H13,miseq_oligo,GPR35,Miseq_005_FP,H13,A
GPR35_A,A14,miseq_oligo,GPR35,Miseq_005_FP,A14,A
GPR35_A,B14,miseq_oligo,GPR35,Miseq_005_FP,B14,A
GPR35_A,C14,miseq_oligo,GPR35,Miseq_005_FP,C14,A
GPR35_A,D14,miseq_oligo,GPR35,Miseq_005_FP,D14,A
GPR35_A,E14,miseq_oligo,GPR35,Miseq_005_FP,E14,A
GPR35_A,F14,miseq_oligo,GPR35,Miseq_005_FP,F14,A
GPR35_A,G14,miseq_oligo,GPR35,Miseq_005_FP,G14,A
GPR35_A,H14,miseq_oligo,GPR35,Miseq_005_FP,H14,A
GPR35_A,A15,miseq_oligo,GPR35,Miseq_005_FP,A15,A
GPR35_A,B15,miseq_oligo,GPR35,Miseq_005_FP,B15,A
GPR35_A,C15,miseq_oligo,GPR35,Miseq_005_FP,C15,A
GPR35_A,D15,miseq_oligo,GPR35,Miseq_005_FP,D15,A
GPR35_A,E15,miseq_oligo,GPR35,Miseq_005_FP,E15,A
GPR35_A,F15,miseq_oligo,GPR35,Miseq_005_FP,F15,A
GPR35_A,G15,miseq_oligo,GPR35,Miseq_005_FP,G15,A
GPR35_A,H15,miseq_oligo,GPR35,Miseq_005_FP,H15,A
GPR35_A,A16,miseq_oligo,GPR35,Miseq_005_FP,A16,A
GPR35_A,B16,miseq_oligo,GPR35,Miseq_005_FP,B16,A
GPR35_A,C16,miseq_oligo,GPR35,Miseq_005_FP,C16,A
GPR35_A,D16,miseq_oligo,GPR35,Miseq_005_FP,D16,A
GPR35_A,E16,miseq_oligo,GPR35,Miseq_005_FP,E16,A
GPR35_A,F16,miseq_oligo,GPR35,Miseq_005_FP,F16,A
GPR35_A,G16,miseq_oligo,GPR35,Miseq_005_FP,G16,A
GPR35_A,H16,miseq_oligo,GPR35,Miseq_005_FP,H16,A
GPR35_A,A17,miseq_oligo,GPR35,Miseq_005_FP,A17,A
GPR35_A,B17,miseq_oligo,GPR35,Miseq_005_FP,B17,A
GPR35_A,C17,miseq_oligo,GPR35,Miseq_005_FP,C17,A
GPR35_A,D17,miseq_oligo,GPR35,Miseq_005_FP,D17,A
GPR35_A,E17,miseq_oligo,GPR35,Miseq_005_FP,E17,A
GPR35_A,F17,miseq_oligo,GPR35,Miseq_005_FP,F17,A
GPR35_A,G17,miseq_oligo,GPR35,Miseq_005_FP,G17,A
GPR35_A,H17,miseq_oligo,GPR35,Miseq_005_FP,H17,A
GPR35_A,A18,miseq_oligo,GPR35,Miseq_005_FP,A18,A
GPR35_A,B18,miseq_oligo,GPR35,Miseq_005_FP,B18,A
GPR35_A,C18,miseq_oligo,GPR35,Miseq_005_FP,C18,A
GPR35_A,D18,miseq_oligo,GPR35,Miseq_005_FP,D18,A
GPR35_A,E18,miseq_oligo,GPR35,Miseq_005_FP,E18,A
GPR35_A,F18,miseq_oligo,GPR35,Miseq_005_FP,F18,A
GPR35_A,G18,miseq_oligo,GPR35,Miseq_005_FP,G18,A
GPR35_A,H18,miseq_oligo,GPR35,Miseq_005_FP,H18,A
GPR35_A,A19,miseq_oligo,GPR35,Miseq_005_FP,A19,A
GPR35_A,B19,miseq_oligo,GPR35,Miseq_005_FP,B19,A
