plate_name	well_name
HUPFP0025_1	E09
HUPFP0025_1	H03
HUPFP0025_1	H03
HUPFP0025_4	C01
HUPFP0025_4	C01
HUPFP0025_8	A03
HUPFP0025_8	A10
HUPFP0025_8	A11
HUPFP0025_8	C04
HUPFP0025_8	C04
HUPFP0025_8	C12
HUPFP0025_8	F09
HUPFP0025_8	F09
HUPFP0026_1	A01
HUPFP0026_1	A10
HUPFP0026_1	B03
HUPFP0026_1	B06
HUPFP0026_1	C12
HUPFP0026_1	D01
HUPFP0026_1	D01
HUPFP0026_1	D01
HUPFP0026_1	D05
HUPFP0026_1	D07
HUPFP0026_1	E04
HUPFP0026_1	E07
HUPFP0026_1	E08
HUPFP0026_1	E09
HUPFP0026_1	E09
HUPFP0026_1	F01
HUPFP0026_1	F01
HUPFP0026_1	F03
HUPFP0026_1	F03
HUPFP0026_1	G03
HUPFP0026_1	G04
HUPFP0026_1	G09
HUPFP0026_1	H01
HUPFP0026_1	H01
HUPFP0026_1	H03
HUPFP0026_1	H07
HUPFP0026_1	H07
HUPFP0026_10	H03
HUPFP0026_11	A09
HUPFP0026_11	A10
HUPFP0026_11	C12
HUPFP0026_11	E07
HUPFP0026_11	E08
HUPFP0026_11	G08
HUPFP0026_11	H03
HUPFP0026_6	D12
HUPFP0026_6	G01
HUPFP0026_6	G04
HUPFP0027_10	A02
HUPFP0027_10	A03
HUPFP0027_11	D01
HUPFP0027_11	D01
HUPFP0027_11	E04
HUPFP0027_11	E04
HUPFP0027_3	B11
HUPFP0027_6	A01
HUPFP0027_6	E02
HUPFP0027_6	E04
HUPFP0027_6	F06
HUPFP0027_7	B08
HUPFP0027_7	B10
HUPFP0027_7	B11
HUPFP0027_7	C03
HUPFP0027_7	G02
HUPFP0027_7	H06
HUPFP0028_14	A01
HUPFP0028_14	E03
HUPFP0028_14	F05
HUPFP0028_14	G01
HUPFP0028_14	H01
HUPFP0028_14	H03
HUPFP0028_14	H06
HUPFP0028_15	A06
HUPFP0028_15	B02
HUPFP0028_6	D04
HUPFP0028_6	D06
HUPFP0028_6	F08
HUPFP0028_6	G10
HUPFP0028_8	B06
HUPFP0028_8	D04
HUPFP0028_8	F03
HUPFP0028_8	F04
HUPFP0028_8	F08
HUPFP0028_8	F09
HUPFP0028_8	G06
HUPFP0028_8	H12
HUPFP0028_9	A01
HUPFP0028_9	A02
HUPFP0028_9	A03
HUPFP0028_9	B03
HUPFP0028_9	B05
HUPFP0028_9	D06
HUPFP0029_11	E09
HUPFP0029_14_15	A01
HUPFP0029_14_15	A10
HUPFP0029_14_15	E04
HUPFP0029_14_15	H02
HUPFP0029_4	A05
HUPFP0029_4	B08
HUPFP0029_4	G01
HUPFP0029_7	A07
HUPFP0029_7	A08
HUPFP0029_7	A09
HUPFP0029_7	B01
HUPFP0029_7	B03
HUPFP0029_7	E01
HUPFP0030_13	F06
HUPFP0030_14	A02
HUPFP0030_14	B02
HUPFP0030_14	F05
HUPFP0030_14	F06
HUPFP0030_5	A05
HUPFP0030_5	A07
HUPFP0030_5	A11
HUPFP0030_5	B12
HUPFP0030_5	E10
HUPFP0030_5	F05
HUPFP0030_5	F10
HUPFP0030_7	A01
HUPFP0031_1	A05
HUPFP0031_1	A06
HUPFP0031_1	A10
HUPFP0031_1	D05
HUPFP0031_1	D06
HUPFP0031_1	G02
HUPFP0031_1	G04
HUPFP0031_1	G05
HUPFP0031_12	A02
HUPFP0031_12	A04
HUPFP0031_12	B03
HUPFP0031_12	E01
HUPFP0031_12	F03
HUPFP0031_5	A02
HUPFP0031_5	B10
HUPFP0031_5	E01
HUPFP0031_6	A07
HUPFP0031_6	C10
HUPFP0031_6	E06
HUPFP0031_6	F04
HUPFP0031_6	G07
HUPFP0031_7	A12
HUPFP0031_7	C02
HUPFP0031_7	E04
HUPFP0031_7	G04
HUPFP0032_4	H11
HUPFP0032_5	B03
HUPFP0032_5	C01
HUPFP0032_5	D01
HUPFP0032_6	A01
HUPFP0032_6	A03
HUPFP0032_6	A11
HUPFP0032_6	D08
HUPFP0032_6	H08
HUPFP0032_7	A01
HUPFP0032_7	A03
HUPFP0032_7	C12
HUPFP0032_7	H02
HUPFP0032_9	A06
HUPFP0032_9	B07
HUPFP0032_9	C08
