fp_plate	fp_well	piq_plate	piq_well	miseq_plate	miseq_well	miseq_experiment_name	notes		
HUPFP0068B3	G12	HUEDQ0567	D07	Miseq_101	148	HUEDQ0567_KDM5B_3			
HUPFP0069A3	A01	HUEDQ0565	D05	Miseq_100	228	HUEDQ0565_SETD5_2			
HUPFP0069A3	A02	HUEDQ0565	E05	Miseq_100	229	HUEDQ0565_SETD5_2			
HUPFP0069A3	A04	HUEDQ0565	F05	Miseq_100	230	HUEDQ0565_SETD5_2			
HUPFP0069A3	A05	HUEDQ0563	E11	Miseq_100	181	HUEDQ0563_SETD5_2			
HUPFP0069A3	A06	HUEDQ0567	F07	Miseq_101	150	HUEDQ0567_SETD5_2			
HUPFPPlate3	G03	HUEDQ0501	C02	Miseq_009_2ndQC	81	HUEDQ0501_KPTN_1			
HUPFPPlate3	C07	HUEDQ0501	E02				Can't find on HUEDQ0501		
HUPFP0067A3	B01	HUEDQ0560	A07	Miseq_094	145	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	C01	HUEDQ0560	E07	Miseq_094	149	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	C02	HUEDQ0560	F07	Miseq_094	150	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	B03	HUEDQ0560	A08	Miseq_094	153	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	C03	HUEDQ0561	B07	Miseq_097	146	HUEDQ0561_TCF20_3_ref			
HUPFP0067A3	A05	HUEDQ0560	G07	Miseq_094	151	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	B05	HUEDQ0560	B08	Miseq_094	154	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	B06	HUEDQ0560	B07	Miseq_094	146	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	B10	HUEDQ0560	C07	Miseq_094	147	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	A11	HUEDQ0560	H07	Miseq_094	152	HUEDQ0560_TCF20_3_ref			
HUPFP0067A3	B12	HUEDQ0560	D07	Miseq_094	148	HUEDQ0560_TCF20_3_ref			
HUPFP0042_1	G04	HUEDQ0537	B02	Miseq_054	129	HUEDQ0537_HMGCR_1			
HUPFP0042_1	A01	HUEDQ0537	A02	Miseq_054	130	HUEDQ0537_HMGCR_1			
HUPFP0021_11	F04	HUEDQ0507	C01	Miseq_018	99	HUEDQ0507_PTGER2_1			
HUPFP0021_11	F06	HUEDQ0517	H03	Miseq_028	144	HUEDQ0517_PTGER2_1			
HUPFP0021_11	A02	HUEDQ0507	D01	Miseq_018	100	HUEDQ0507_PTGER2_1			
HUPFP0021_11	A01	HUEDQ0507	B01	Miseq_018	98	HUEDQ0507_PTGER2_1			
HUPFP0021_11	A08	HUEDQ0507	A01	Miseq_018	97	HUEDQ0507_PTGER2_1			
HUPFP0021_11	A07	HUEDQ0507	E01	Miseq_018	101	HUEDQ0507_PTGER2_1			
HUPFP0017_3	B04	HUEDQ0514	E03	Miseq_023	165	HUEDQ0514_EHMT1_1			
HUPFP0024_8	E03	HUEDQ0516	D02	Miseq_027	108	HUEDQ0516_PHF8_2			
HUPFP0024_8	H03	HUEDQ0513	D02	Miseq_023	180	HUEDQ0513_PHF8_2			
HUPFP0024_8	B04	HUEDQ0513	H02	Miseq_023	184	HUEDQ0513_PHF8_2			
HUPFP0024_8	B05	HUEDQ0513	C02	Miseq_023	179	HUEDQ0513_PHF8_2			
HUPFP0024_8	F08	HUEDQ0513	F02	Miseq_023	182	HUEDQ0513_PHF8_2			
HUPFP0024_8	C09	HUEDQ0513	G02	Miseq_023	183	HUEDQ0513_PHF8_2			
HUPFP0024_8	G09	HUEDQ0513	E02	Miseq_023	181	HUEDQ0513_PHF8_2			
HUPFP0019_2	G02	HUEDQ0503	A03	Miseq_015	113	HUPEPD0503_MED13L_1			
HUPFP0019_2	D02	HUEDQ0505	H03	Miseq_016	120	HUEDQ0505_MED13L_1			
HUPFP0019_2	B03	HUEDQ0503	B03	Miseq_015	114	HUPEPD0503_MED13L_1			
HUPFP0019_2	D01	HUEDQ0503	C03	Miseq_015	115	HUPEPD0503_MED13L_1			
HUPFP0067A9	E01	HUEDQ0558	G07	Miseq_092	151	HUEDQ0558_TBL1XR1			
HUPFP0067A9	H02	HUEDQ0558	D07	Miseq_092	148	HUEDQ0558_TBL1XR1			
HUPFP0067A9	H03	HUEDQ0558	H07	Miseq_092	152	HUEDQ0558_TBL1XR1			
HUPFP0067A9	C05	HUEDQ0558	E07	Miseq_092	149	HUEDQ0558_TBL1XR1			
HUPFP0067A9	A07	HUEDQ0559	G07	Miseq_093	151	HUEDQ0559_TBL1XR1_2	I think these are the wrong clones and the HUEDQ well locations have been used instaed	B11	
HUPFP0067A9	B07	HUEDQ0559	H07	Miseq_093	152	HUEDQ0559_TBL1XR1_2		F06	
HUPFP0067A9	C07	HUEDQ0559	A08	Miseq_093	153	HUEDQ0559_TBL1XR1_2		F08	
HUPFP0067A9	D07	HUEDQ0559	B08	Miseq_093	154	HUEDQ0559_TBL1XR1_2		B10	
HUPFP0067A9	E07	HUEDQ0559	C08	Miseq_093	155	HUEDQ0559_TBL1XR1_2		E02	
HUPFP0067A9	H07	HUEDQ0560	C08	Miseq_094	155	HUEDQ0560_TBL1XR1_2			
HUPFP0067A9	F08	HUEDQ0560	H09	Miseq_094	165	HUEDQ0560_TBL1XR1_2			
HUPFP0067A9	D09	HUEDQ0558	F07	Miseq_092	150	HUEDQ0558_TBL1XR1			
HUPFP0067A9	H09	HUEDQ0560	D08	Miseq_094	156	HUEDQ0560_TBL1XR1_2			
HUPFP0067A9	C10	HUEDQ0558	B07	Miseq_092	146	HUEDQ0558_TBL1XR1			
HUPFP0067A9	G12	HUEDQ0558	C07	Miseq_092	147	HUEDQ0558_TBL1XR1			
HUPFP0025_1	B12	HUEDQ0514	C02	Miseq_023	155	HUEDQ0514_STK11_1			
HUPFP0025_1	E08	HUEDQ0514	A02	Miseq_023	153	HUEDQ0514_STK11_1			
HUPFP0025_1	H03	HUEDQ0516	A01	Miseq_027	97	HUEDQ0516_STK11_1			
HUPFP0025_1	A03	HUEDQ0516	B01	Miseq_027	98	HUEDQ0516_STK11_1			
HUPFP0025_1	E09	HUEDQ0514	B02	Miseq_023	154	HUEDQ0514_STK11_1			
HUPFP0090A2	A01	HUEDQ0565	C06	Miseq_100	235	HUEDQ0565_EP300_1			
HUPFP0090A2	B01	HUEDQ0563	G10	Miseq_100	175	HUEDQ0563_EP300_1			
HUPFP0090A2	C01	HUEDQ0567	B08	Miseq_101	154	HUEDQ0567_EP300_1			
HUPFP0090A2	H02	HUEDQ0567	D08	Miseq_101	156	HUEDQ0567_EP300_1			
HUPFP0090A2	A04	HUEDQ0565	B06	Miseq_100	234	HUEDQ0565_EP300_1			
HUPFP0090A2	C04	HUEDQ0565	E06	Miseq_100	237	HUEDQ0565_EP300_1			
HUPFP0090A2	C05	HUEDQ0563	E10	Miseq_100	173	HUEDQ0563_EP300_1			
HUPFP0090A2	B06	HUEDQ0565	D06	Miseq_100	236	HUEDQ0565_EP300_1			
HUPFP0090A2	B08	HUEDQ0563	H10	Miseq_100	176	HUEDQ0563_EP300_1			
HUPFP0090A2	E09	HUEDQ0565	F06	Miseq_100	238	HUEDQ0565_EP300_1			
HUPFP0090A2	E10	HUEDQ0567	C08	Miseq_101	155	HUEDQ0567_EP300_1			
HUPFP0047_9	D02	HUEDQ0537	D02	Miseq_054	132	HUEDQ0537_NEU3_2			
HUPFP0047_9	G09	HUEDQ0537	C02	Miseq_054	131	HUEDQ0537_NEU3_2			
HUPFP0047_9	C10	HUEDQ0537	E02	Miseq_054	133	HUEDQ0537_NEU3_2			
HUPFP0069A7	C07	HUEDQ0569	A11	Miseq_104	177	HUEDQ0569_POGZ_1			
HUPFP0069A7	D08	HUEDQ0569	B11	Miseq_104	178	HUEDQ0569_POGZ_1			
HUPFP0069A7	H09	HUEDQ0569	D11	Miseq_104	180	HUEDQ0569_POGZ_1			
HUMUT0001_4F	G03	HUEDQ0518	D01	Miseq_028	148	HUEDQ0518_MLH1_2			
HUMUT0001_4F	A06	HUEDQ0518	C01	Miseq_028	147	HUEDQ0518_MLH1_2			
HUMUT0001_4F	F09	HUEDQ0518	B01	Miseq_028	146	HUEDQ0518_MLH1_2			
HUMUT0001_4F	G09	HUEDQ0518	E01	Miseq_028	149	HUEDQ0518_MLH1_2			
HUPFP0018_2	E06	HUEDQ0504	C02	Miseq_015	131	HUPEPD0504_EP300_1			
HUPFP0018_2	H05	HUEDQ0504	A02	Miseq_015	129	HUPEPD0504_EP300_1			
HUPFP0018_2	C08	HUEDQ0504	B02	Miseq_015	130	HUPEPD0504_EP300_1			
HUPFP0018_2	B10	HUEDQ0509	A03	Miseq_018	161	HUEDQ0509_EP300_1			
HUPFP0018_2	D12	HUEDQ0504	H01	Miseq_015	128	HUPEPD0504_EP300_1			
HUPFP0018_2	D06	HUEDQ0504	G01	Miseq_015	127	HUPEPD0504_EP300_1			
HUPFPPlate7B	H01	HUEDQ0506	F03	Miseq_016	117	HUEDQ0506_BCL11A1_1			
HUPFPPlate7B	G05	HUEDQ0506	E03	Miseq_016	118	HUEDQ0506_BCL11A1_1			
HUPFP0020_11	A01	HUEDQ0507	B03	Miseq_018	114	HUEDQ0507_IFNE			
HUPFP0020_11	A02	HUEDQ0507	C03	Miseq_018	115	HUEDQ0507_IFNE			
HUPFP0020_11	E06	HUEDQ0507	D03	Miseq_018	116	HUEDQ0507_IFNE			
