fp_plate	fp_well	miseq_plate	miseq_well	miseq_experiment_name
HUPFP0021_10	A04	Miseq_018	129	HUEDQ0508_PTGES_1
HUPFP0021_10	C03	Miseq_018	130	HUEDQ0508_PTGES_1
HUPFP0022_2	A02	Miseq_019	190	HUEDQ0510_AIM2_1
HUPFP0024_8	E03	Miseq_027	108	HUEDQ0516_PHF8_2
HUPFP0025_1	A03	Miseq_027	98	HUEDQ0516_STK11_1
HUPFP0025_1	H03	Miseq_027	97	HUEDQ0516_STK11_1
HUPFP0025_4	C01	Miseq_027	109	HUEDQ0516_CASP8_1
HUPFP0025_8	C04	Miseq_027	102	HUEDQ0516_ARHGAP35_1
HUPFP0025_8	F09	Miseq_027	101	HUEDQ0516_ARHGAP35_1
HUPFP0026_1	D01	Miseq_027	113	HUEDQ0516_CMTR2_1
HUPFP0026_1	D07	Miseq_028	134	HUEDQ0517_CMTR2_1
HUPFP0026_1	E09	Miseq_027	112	HUEDQ0516_CMTR2_1
HUPFP0026_1	F01	Miseq_027	110	HUEDQ0516_CMTR2_1
HUPFP0026_1	F03	Miseq_027	114	HUEDQ0516_CMTR2_1
HUPFP0026_1	H01	Miseq_030	176	HUEDQ0519_CMTR2_1
HUPFP0026_1	H07	Miseq_027	111	HUEDQ0516_CMTR2_1
HUPFP0018_3	E04	Miseq_015	133	HUPEPD0504_GATAD2B_1
HUPFP0047_8	C07	Miseq_074	124	HUEDQ0549_KMT2C_2
HUPFP0047_8	H07	Miseq_074	125	HUEDQ0549_KMT2C_2
HUPFP0048_16	F02	Miseq_074	131	HUEDQ0549_SSPN_2
HUPFPPlate4	A03	Miseq_009_2ndQC	89	HUEDQ0501_ASXL3_2
HUPFP0007_4	E03	Miseq_023	189	HUEDQ0513_MGST_1
HUPFP0007_4	H01	Miseq_023	190	HUEDQ0513_MGST_1
HUPFP0060A6	G12	Miseq_069	176	HUEDQ0545_HDAC4_2
HUPFP0065A8	H09	Miseq_074	176	HUEDQ0550_AUTS2_1
HUPFP0066A8	A01	Miseq_082	179	HUEDQ0549_SPEN_2
HUPFP0067A9	F08	Miseq_094	165	HUEDQ0560_TBL1XR1_2
HUPFP0090A3	A08	Miseq_104	171	HUEDQ0569_EHMT1_1
HUPFP0090A3	B02	Miseq_102	177	HUEDQ0568_EHMT1_1
HUPFP0090A3	C01	Miseq_102	178	HUEDQ0568_EHMT1_1
HUPFP0090A3	C03	Miseq_104	169	HUEDQ0569_EHMT1_1
HUPFP0090A3	D03	Miseq_102	179	HUEDQ0568_EHMT1_1
HUPFP0090A3	E05	Miseq_104	173	HUEDQ0569_EHMT1_1
HUPFP0090A3	E10	Miseq_104	170	HUEDQ0569_EHMT1_1
HUPFP0090A3	H03	Miseq_102	180	HUEDQ0568_EHMT1_1
HUPFP0090A3	H09	Miseq_104	174	HUEDQ0569_EHMT1_1
HUPFP0091A2	B12	Miseq_107	176	HUEDQ0575_AUTS2
HUPFP0093A3	C10	Miseq_108	223	HUEDQ0577_KPTN
HUPFP0093A3	D02	Miseq_107	173	HUEDQ0575_KPTN
HUPFP0093A3	F06	Miseq_107	174	HUEDQ0575_KPTN
HUPFP0093B3	A02	Miseq_107	169	HUEDQ0575_KPTN
HUPFP0092A2	G10	Miseq_114	49	HUEDQ0586_NSD1_plate2
HUPFP0073A3	H01	Miseq_110	74	HUEDQ0578_COBLL1
HUPFP0094A3	E01	Miseq_115	102	HUEDQ0587_SETD1B
HUPFP0094B2	C12	Miseq_114	41	HUEDQ0586_NSD1_plate2
HUPFP0094B2	E02	Miseq_114	33	HUEDQ0586_NSD1_plate2
HUPFP0094A1	A11	Miseq_115	132	HUEDQ0587_ASXL3
HUPFP0094A1	B12	Miseq_115	100	HUEDQ0587_ASXL3
HUPFP0094A1	E03	Miseq_115	108	HUEDQ0587_ASXL3
