experiment,well_name,process,Gene,parent_plate,parent_well
ARID1A_2_N,A7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A7
ARID1A_2_N,B7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B7
ARID1A_2_N,C7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C7
ARID1A_2_N,D7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D7
ARID1A_2_N,E7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E7
ARID1A_2_N,F7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F7
ARID1A_2_N,G7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G7
ARID1A_2_N,H7,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H7
ARID1A_2_N,A8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A8
ARID1A_2_N,B8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B8
ARID1A_2_N,C8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C8
ARID1A_2_N,D8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D8
ARID1A_2_N,E8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E8
ARID1A_2_N,F8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F8
ARID1A_2_N,G8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G8
ARID1A_2_N,H8,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H8
ARID1A_2_N,A9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A9
ARID1A_2_N,B9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B9
ARID1A_2_N,C9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C9
ARID1A_2_N,D9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D9
ARID1A_2_N,E9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E9
ARID1A_2_N,F9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F9
ARID1A_2_N,G9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G9
ARID1A_2_N,H9,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H9
ARID1A_2_N,A10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A10
ARID1A_2_N,B10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B10
ARID1A_2_N,C10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C10
ARID1A_2_N,D10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D10
ARID1A_2_N,E10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E10
ARID1A_2_N,F10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F10
ARID1A_2_N,G10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G10
ARID1A_2_N,H10,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H10
ARID1A_2_N,A11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A11
ARID1A_2_N,B11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B11
ARID1A_2_N,C11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C11
ARID1A_2_N,D11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D11
ARID1A_2_N,E11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E11
ARID1A_2_N,F11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,F11
ARID1A_2_N,G11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,G11
ARID1A_2_N,H11,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,H11
ARID1A_2_N,A12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,A12
ARID1A_2_N,B12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,B12
ARID1A_2_N,C12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,C12
ARID1A_2_N,D12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,D12
ARID1A_2_N,E12,miseq_no_template,ARID1A_2,MiSeq_TT_FP_8,E12
