experiment,well_name,process,Gene,parent_plate,parent_well
ARID1B_1_O,F3,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,F3
ARID1B_1_O,G3,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,G3
ARID1B_1_O,H3,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,H3
ARID1B_1_O,A4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,A4
ARID1B_1_O,B4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,B4
ARID1B_1_O,C4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,C4
ARID1B_1_O,D4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,D4
ARID1B_1_O,E4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,E4
ARID1B_1_O,F4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,F4
ARID1B_1_O,G4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,G4
ARID1B_1_O,H4,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,H4
ARID1B_1_O,A5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,A5
ARID1B_1_O,B5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,B5
ARID1B_1_O,C5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,C5
ARID1B_1_O,D5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,D5
ARID1B_1_O,E5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,E5
ARID1B_1_O,F5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,F5
ARID1B_1_O,G5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,G5
ARID1B_1_O,H5,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,H5
ARID1B_1_O,A6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,A6
ARID1B_1_O,B6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,B6
ARID1B_1_O,C6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,C6
ARID1B_1_O,D6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,D6
ARID1B_1_O,E6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,E6
ARID1B_1_O,F6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,F6
ARID1B_1_O,G6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,G6
ARID1B_1_O,H6,miseq_no_template,ARID1B_1,MiSeq_TT_FP_6,H6
KMT2D_2_Z,A1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A1
KMT2D_2_Z,B1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B1
KMT2D_2_Z,C1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C1
KMT2D_2_Z,D1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D1
KMT2D_2_Z,E1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E1
KMT2D_2_Z,F1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F1
KMT2D_2_Z,G1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G1
KMT2D_2_Z,H1,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H1
KMT2D_2_Z,A2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A2
KMT2D_2_Z,B2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B2
KMT2D_2_Z,C2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C2
KMT2D_2_Z,D2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D2
KMT2D_2_Z,E2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E2
KMT2D_2_Z,F2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F2
KMT2D_2_Z,G2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G2
KMT2D_2_Z,H2,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H2
KMT2D_2_Z,A3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A3
KMT2D_2_Z,B3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B3
KMT2D_2_Z,C3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C3
KMT2D_2_Z,D3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D3
KMT2D_2_Z,E3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E3
KMT2D_2_Z,F3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F3
KMT2D_2_Z,G3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G3
KMT2D_2_Z,H3,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H3
KMT2D_2_Z,A4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A4
KMT2D_2_Z,B4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B4
KMT2D_2_Z,C4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C4
KMT2D_2_Z,D4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D4
KMT2D_2_Z,E4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E4
KMT2D_2_Z,F4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F4
KMT2D_2_Z,G4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G4
KMT2D_2_Z,H4,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H4
KMT2D_2_Z,A5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A5
KMT2D_2_Z,B5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B5
KMT2D_2_Z,C5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C5
KMT2D_2_Z,D5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D5
KMT2D_2_Z,E5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E5
KMT2D_2_Z,F5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F5
KMT2D_2_Z,G5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G5
KMT2D_2_Z,H5,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H5
KMT2D_2_Z,A6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A6
KMT2D_2_Z,B6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,B6
KMT2D_2_Z,C6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,C6
KMT2D_2_Z,D6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,D6
KMT2D_2_Z,E6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,E6
KMT2D_2_Z,F6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,F6
KMT2D_2_Z,G6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,G6
KMT2D_2_Z,H6,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,H6
KMT2D_2_Z,A7,miseq_no_template,KMT2D_2,MiSeq_TT_FP_13,A7
